Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-295,vw_grupo_compras,2026-03-02T16:53:58.509-0300,2026-03-18T13:51:22.697-0300,Open,In progress,jose.souto2
BF3E4-103,vw_codigo_companhia,2026-02-24T17:41:12.122-0300,2026-03-25T16:20:52.743-0300,In progress,Waiting Test,jose.souto2
BF3E4-103,vw_codigo_companhia,2026-02-24T17:41:12.122-0300,2026-03-25T08:59:41.805-0300,To Do,In progress,jose.souto2
BF3E4-103,vw_codigo_companhia,2026-02-24T17:41:12.122-0300,2026-03-24T09:20:35.308-0300,In progress,To Do,jose.souto2
BF3E4-103,vw_codigo_companhia,2026-02-24T17:41:12.122-0300,2026-03-24T09:16:08.858-0300,To Do,In progress,jose.souto2
BF3E4-103,vw_codigo_companhia,2026-02-24T17:41:12.122-0300,2026-03-19T10:11:02.394-0300,Open,To Do,artur.mariano
BF3E4-102,vw_desenho,2026-02-24T17:41:10.001-0300,2026-03-19T10:11:00.979-0300,Open,To Do,artur.mariano
BF3E4-101,vw_condicao_pagamento,2026-02-24T17:41:08.474-0300,2026-03-26T08:58:03.081-0300,To Do,In progress,jose.souto2
BF3E4-101,vw_condicao_pagamento,2026-02-24T17:41:08.474-0300,2026-03-19T10:10:59.637-0300,Open,To Do,artur.mariano
BF3E4-100,vw_centro,2026-02-24T17:41:06.868-0300,2026-03-25T17:22:53.612-0300,In progress,Waiting Test,jose.souto2
BF3E4-100,vw_centro,2026-02-24T17:41:06.868-0300,2026-03-23T17:20:24.418-0300,To Do,In progress,jose.souto2
BF3E4-100,vw_centro,2026-02-24T17:41:06.868-0300,2026-03-19T10:10:58.315-0300,Open,To Do,artur.mariano
BF3E4-99,vw_comprador,2026-02-24T17:41:05.100-0300,2026-03-23T14:11:52.856-0300,In progress,Waiting Test,jose.souto2
BF3E4-99,vw_comprador,2026-02-24T17:41:05.100-0300,2026-03-23T08:51:07.187-0300,To Do,In progress,jose.souto2
BF3E4-99,vw_comprador,2026-02-24T17:41:05.100-0300,2026-03-19T10:10:56.757-0300,Open,To Do,artur.mariano
BF3E4-98,Views Analíticas,2026-02-24T17:41:03.381-0300,2026-03-25T17:25:06.500-0300,To Do,In progress,jose.souto2
BF3E4-98,Views Analíticas,2026-02-24T17:41:03.381-0300,2026-03-19T10:10:55.043-0300,Open,To Do,artur.mariano
BF3E4-97,Tratativa.tb_desenho | Carga via Cloud Function - Tabela Desenho - Carga: DELETE/INSERT,2026-02-24T17:41:01.982-0300,2026-03-27T09:01:01.603-0300,To Do,In progress,jose.souto2
BF3E4-97,Tratativa.tb_desenho | Carga via Cloud Function - Tabela Desenho - Carga: DELETE/INSERT,2026-02-24T17:41:01.982-0300,2026-03-19T10:10:53.571-0300,Open,To Do,artur.mariano
BF3E4-96,Tratativa.tb_condicao_pagamento | Carga via Cloud Function - Tabela Condição Pagamento - Carga: DELETE/INSERT,2026-02-24T17:41:00.320-0300,2026-03-24T09:20:52.698-0300,To Do,In progress,jose.souto2
BF3E4-96,Tratativa.tb_condicao_pagamento | Carga via Cloud Function - Tabela Condição Pagamento - Carga: DELETE/INSERT,2026-02-24T17:41:00.320-0300,2026-03-19T10:10:52.039-0300,Open,To Do,artur.mariano
BF3E4-95,Tratativa.tb_centro | Carga via Cloud Function - Tabela Centro - Carga: DELETE/INSERT,2026-02-24T17:40:58.333-0300,2026-03-25T17:12:26.487-0300,In progress,Waiting Test,jose.souto2
BF3E4-95,Tratativa.tb_centro | Carga via Cloud Function - Tabela Centro - Carga: DELETE/INSERT,2026-02-24T17:40:58.333-0300,2026-03-23T14:11:57.206-0300,To Do,In progress,jose.souto2
BF3E4-95,Tratativa.tb_centro | Carga via Cloud Function - Tabela Centro - Carga: DELETE/INSERT,2026-02-24T17:40:58.333-0300,2026-03-19T10:10:50.234-0300,Open,To Do,artur.mariano
BF3E4-94,Tratativa.tb_comprador | Carga via Cloud Function - Tabela Comprador - Carga: DELETE/INSERT,2026-02-24T17:40:48.104-0300,2026-03-23T08:51:01.984-0300,In progress,Waiting Test,jose.souto2
BF3E4-94,Tratativa.tb_comprador | Carga via Cloud Function - Tabela Comprador - Carga: DELETE/INSERT,2026-02-24T17:40:48.104-0300,2026-03-18T13:51:15.389-0300,Open,In progress,jose.souto2
BF3E4-93,"Cloud Function: fn_load_bgq_dm_tratativa | HTTP Operator, executa query SQL do diretório functions/fn_load_bgq_dm_tratativa/sqls com projetos parametrizados (project_compras, project_sap, project_supply, project_brain) para popular as tabelas da história",2026-02-24T17:40:44.710-0300,2026-03-20T10:07:25.486-0300,To Do,In progress,marina.bueno
BF3E4-93,"Cloud Function: fn_load_bgq_dm_tratativa | HTTP Operator, executa query SQL do diretório functions/fn_load_bgq_dm_tratativa/sqls com projetos parametrizados (project_compras, project_sap, project_supply, project_brain) para popular as tabelas da história",2026-02-24T17:40:44.710-0300,2026-03-19T10:10:48.872-0300,Open,To Do,artur.mariano
BF3E4-92,DAG - data-lake-compras-tratativa,2026-02-24T17:40:42.298-0300,2026-03-19T10:20:36.099-0300,To Do,In progress,artur.mariano
BF3E4-92,DAG - data-lake-compras-tratativa,2026-02-24T17:40:42.298-0300,2026-03-19T10:10:45.884-0300,Open,To Do,artur.mariano
