Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-810,[FINANCE - 4] Entidade: NFe Entrada CMP - TAMANHO: M,2026-03-06T18:53:05.884-0300,2026-03-16T14:27:17.308-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-810,[FINANCE - 4] Entidade: NFe Entrada CMP - TAMANHO: M,2026-03-06T18:53:05.884-0300,2026-03-16T14:27:14.313-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-810,[FINANCE - 4] Entidade: NFe Entrada CMP - TAMANHO: M,2026-03-06T18:53:05.884-0300,2026-03-16T14:27:09.099-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-796,[FINANCE - 3] Entidade: NFe Entrada CMA - TAMANHO: M,2026-03-06T18:52:20.183-0300,2026-03-16T14:25:03.762-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-796,[FINANCE - 3] Entidade: NFe Entrada CMA - TAMANHO: M,2026-03-06T18:52:20.183-0300,2026-03-16T14:25:00.711-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-796,[FINANCE - 3] Entidade: NFe Entrada CMA - TAMANHO: M,2026-03-06T18:52:20.183-0300,2026-03-16T14:24:55.246-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-782,[FINANCE - 2] Entidade: NFe Entrada FPT - TAMANHO: M,2026-03-06T18:51:26.308-0300,2026-03-16T14:22:11.291-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-782,[FINANCE - 2] Entidade: NFe Entrada FPT - TAMANHO: M,2026-03-06T18:51:26.308-0300,2026-03-16T14:22:07.873-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-782,[FINANCE - 2] Entidade: NFe Entrada FPT - TAMANHO: M,2026-03-06T18:51:26.308-0300,2026-03-16T14:22:03.095-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-768,[FINANCE - 1] Entidade: NFe Entrada FIAT - TAMANHO: M,2026-03-06T18:28:11.247-0300,2026-03-16T14:18:09.299-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-768,[FINANCE - 1] Entidade: NFe Entrada FIAT - TAMANHO: M,2026-03-06T18:28:11.247-0300,2026-03-16T14:18:04.759-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-768,[FINANCE - 1] Entidade: NFe Entrada FIAT - TAMANHO: M,2026-03-06T18:28:11.247-0300,2026-03-16T14:17:54.010-0300,Open,WAITING REFINEMENT,willian.santos
